سريال تعرفه,كد ملي دارو,قيمت,از تاريخ تاثير قيمت,نام ژنريك,نام تجاري,شكل دارو,بيمارستاني يا تخصص,بيمارستاني,تاريخ تغيير قيمت,نيازمند کميسيون,گروه خدمت,ستاره دار,مجوز تجويز عمومي,مجوز تجويز ماما,بيمه اي,داروخانه مجاز به تاييد,استعلام اصالت,ويژگي,جنسيت مجاز,تعداد در نسخه
1662370,01007 ,641800,1402/09/04,PILOCARPINE 2% 10ML OPH,,drop ophtalmic,نمي باشد,نمي باشد,1402/09/07,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1457111,00747 ,13000,1402/03/01,LEVODOPA-C 110MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,400
1705535,00581 ,4246000,1403/03/30,GANCICLOVIR 500MG,,vial,نمي باشد,مي باشد,1403/03/30,مي باشد,عادي (پايه90% - بيماران خاص 5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,30
1683477,00139 ,1473000,1403/01/07,BENZOYL PEROXIDE 5% 30G,,gel,نمي باشد,نمي باشد,1403/01/07,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1226633,52433 ,70000,1401/04/23,FUROSEMIDE INTRAVENOUS 10mg/1mL 25mL,,injection,نمي باشد,مي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,30
1634883,01183 ,32600,1402/07/22,SULFADIAZINE 500MG,,tablet,نمي باشد,نمي باشد,1402/07/22,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1213696,02738 ,9850,1401/04/23,RIVASTIGMINE HYDROGEN TARTRATE 6MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 70% - مكمل 30%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1711436,00078 ,353600,1403/04/16,AMOXICILLIN 250MG/5ML 100ML POW SUSP,,powder for suspention,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1213472,00083 ,41000,1401/04/23,AMPICILLIN 125MG/5ML 100ML POW SUSP,,powder for suspention,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1630246,02014 ,217200,1402/06/06,CHLORPHENIRAMINE MALEATE 2MG/5ML 60ML,,syrup,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(مكمل 85%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1234590,02232 ,85000,1401/04/23,CETIRIZINE 2HCL 5MG/5ML 60ML,,syrup,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1351363,01261 ,419100,1401/04/23,TRIMIPRAMINE MALEATE 4%,,drop oral,نمي باشد,نمي باشد,1401/08/21,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,8
1218213,01558 ,71000,1401/04/23,ISOPROTERENOL HCl 0.2MG/ML 0.,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1472428,52215 ,5153000,1402/03/01,PNEUMOCOCCAL VACCINE 23 1 {dose}/0.5mL,,ampoule,نمي باشد,نمي باشد,1402/03/22,مي باشد,عادي(پايه70%-بيماران خاص20%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,1
1351260,00536 ,47280,1401/04/23,FLECAINIDE 100MG,,tablet,نمي باشد,نمي باشد,1401/08/21,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1218794,01154 ,42000,1401/04/23,SODIUM FLUORIDE 20MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1635453,00548 ,177000,1402/07/22,FLUOROMETHOLONE 0.1% 5ML OPH,,drop ophtalmic,نمي باشد,نمي باشد,1402/07/22,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1632690,00624 ,379800,1402/06/06,"HEPARIN SODIUM 5,000U/1ML",,ampoule,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي (پايه 90%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,20
1231285,00974 ,23200,1401/04/23,PERPHENAZINE 5MG/ML,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1204464,08396 ,227695,1401/04/23,VALPROATE SODIUM 400MG INJ,,injection,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,30
1690144,00006 ,23500,1403/01/18,ACETAMINOPHEN 125MG PED,,suppository,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,50
1687368,00008 ,27800,1403/01/18,ACETAMINOPHEN 325MG,,suppository,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(مكمل 85%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,50
1664119,00428 ,22230,1402/09/11,DICLOFENAC SODIUM 50MG,,suppository,نمي باشد,نمي باشد,1402/09/11,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,50
1226319,01236 ,19000,1401/04/23,TOLNAFTATE 1% TOP,,solution topical,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1654766,00159 ,116300,1402/08/20,BETAMETHASONE VALERATE 0.1% LOTION,,lotion,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1664923,00160 ,105100,1402/09/11,BETAMETHASONE VALERATE 0.1%,,ointment,نمي باشد,نمي باشد,1402/09/11,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1452727,00268 ,2900,1402/03/01,CHLORDIAZEPOXIDE 5MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1459259,00431 ,64100,1402/03/01,DICYCLOMINE HCL 20MG/2ML,,ampoule,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1465670,00545 ,154100,1402/03/07,FLUOCINOLONE ACETONIDE 0.025%,,ointment,نمي باشد,نمي باشد,1402/03/08,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1348951,00659 ,11600,1401/08/18,IBUPROFEN 400MG,,tablet,نمي باشد,نمي باشد,1401/08/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1655914,00717 ,3620,1402/08/20,ISOSORBIDE DINITRATE 10MG,,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1651898,00727 ,4780,1402/08/20,KETOTIFEN FUMARATE 1MG,,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1658675,00867 ,17100,1402/09/04,MULTIVITAMIN THERAPEUTIC,,capsule,نمي باشد,نمي باشد,1402/09/05,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,100
1627078,00875 ,417000,1402/06/06,MUPIROCIN 2% 15 GR,,ointment,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1368397,00200 ,154100,1401/09/30,CALCIUM GLUCONATE 10% 10ML,,ampoule,نمي باشد,نمي باشد,1401/09/29,مي باشد,ويژه(پايه70%-بيماران خاص30%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,40
1223125,00442 ,2900,1401/04/23,DIHYDROERGOTAMINE MESYLATE 2.5MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1655362,00777 ,407300,1402/08/20,MAGNESIUM HYDROXIDE 8% 240ML SUSP,,suspension,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(مكمل 85%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1662982,00821 ,7250,1402/09/04,METHIMAZOLE 5MG,,tablet,نمي باشد,نمي باشد,1402/09/07,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,400
1653026,00835 ,159700,1402/08/20,METHYLPREDNISOLNE ACETATE 40MG/ML,,ampoule,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1631738,00881 ,29900,1402/06/06,NALIDIXIC ACID 500MG,,tablet,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1653030,00966 ,15700,1402/08/20,"PENICILLIN V POTASSIUM 500MG (800,000 U)",,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1493598,01068 ,3770,1402/05/01,PROPRANOLOL HCL 40,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1627134,01206 ,120800,1402/06/06,TETRACYCLINE 1%,,ointment ophtalmic,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1359806,01286 ,105000,1401/09/12,VITAMIN A 250U/G 3G,,ointment ophtalmic,نمي باشد,نمي باشد,1401/09/12,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,3
1493546,01292 ,7830,1402/05/01,VITAMIN B1 (THIAMINE HCL) 100MG,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(مكمل 85%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1228043,00879 ,14013600,1401/04/23,IMMUNE GLOBULIN 6 G (IV ),,vial,مي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,25
1460326,00314 ,133100,1402/03/07,CLOBETASOL PROPPIONATE 0.05% 15G,,ointment topical,نمي باشد,نمي باشد,1402/03/08,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1662850,00524 ,239600,1402/09/04,EXPECTORANT CODEINE 60ML,,syrup,نمي باشد,نمي باشد,1402/09/07,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1689316,00848 ,45600,1403/01/18,MEXILETINE HCL 100MG,,capsule,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1228532,00364 ,40000,1401/04/23,CROMOLYN SODIUM 20MG INHAL,,capsule inhaler,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1241025,00379 ,8150,1401/04/23,DANAZOLE 100MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1664935,00168 ,19700,1402/09/11,BISACODYL 5MG PED,,suppository,نمي باشد,نمي باشد,1402/09/11,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,50
1465890,00340 ,280200,1402/03/07,CO-TRIMOXAZOLE 200 mg/40 mg/5mL 100 mL SUSPENSION,,suspension oral,نمي باشد,نمي باشد,1402/03/08,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1240964,01889 ,150000,1401/04/23,FLUTICASONE 125MCG/DOSE 60,,spray,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,4
1229513,07495 ,5500,1401/04/23,CEFIXIME 200MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,40
1204446,09572 ,759672,1401/04/23,CALCIUM FOLINATE 10 mg/1mL 20 mg,,vial,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,15
1207668,09916 ,21726,1401/04/23,MESALAZINE 800MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,500
1493158,01142 ,306700,1402/05/01,SODIUM CHLORIDE 0.9% 1000ML IRIGATION,,irrigation,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(مكمل 85%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1345063,08777 ,3710000,1401/08/18,PROSTAGLANDIN E1(ALPROSTADIL) POWDERFOR 20 ug,,vial,نمي باشد,نمي باشد,1401/08/18,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1338119,05629 ,935700,1401/08/01,MEROPENEM 1G,,vial,نمي باشد,مي باشد,1401/08/02,مي باشد,عادي(پايه70%-بيماران خاص20%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1217113,60730 ,168000,1401/04/23,DEXAMETHASONE,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1493570,11020 ,6520,1402/05/01,BUSPIRONE 10MG,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1627978,12273 ,1682000,1402/06/06,NILOTINIB 200MG,,capsule,نمي باشد,نمي باشد,1402/06/06,مي باشد,ويژه (پايه 70% - مكمل 10% - بيماران خاص 20%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,360
1206035,10683 ,1149101,1401/04/23,GLATIRAMER ACETATE 20MG/ML PREFILLED,,prefild syrige,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,60
1231805,13610 ,150000,1401/04/23,CINACALCET 90MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1632774,15618 ,25620,1402/06/06,QUETIAPINE 150MG,,tablet,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1703956,01622 ,40000,1403/03/01,OMEGA 3 FATTY ACIDS 1G,,capsule,نمي باشد,نمي باشد,1403/03/23,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,100
1651826,02686 ,40000,1402/08/20,AVOCADO AND SOYBEAN EXTRACT 300MG,,capsule,نمي باشد,نمي باشد,1402/08/20,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),ندارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,90
1351428,09090 ,9411,1401/08/24,YASMIN 325 MG,,tablet,نمي باشد,نمي باشد,1401/08/23,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,84
1653614,06403 ,1907000,1402/08/20,SODIUM PHENYL BUTYRATE 500MG,,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,ويژه (پايه95%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1230956,99950 ,400000,1401/04/23,ROSMARI 30 G,,ointment,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,3
1437988,16792 ,6157000,1401/12/22,GADOBUTROL 604.72 mg/1mL 7.5ML,,injection,نمي باشد,نمي باشد,1401/12/21,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,2
1628786,17853 ,57360,1402/06/06,DEFERIPRONE 500MG EC,,tablet ec,نمي باشد,نمي باشد,1402/06/06,مي باشد,ويژه (پايه 100%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,450
1228203,05154 ,7000,1401/04/23,VENLAFAXINE 150MG EXTENDED,,capsule extended R,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1637105,51893 ,1933000,1402/07/22,MIGLUSTAT 100MG,,capsule,نمي باشد,نمي باشد,1402/07/22,مي باشد,ويژه (پايه 100%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1207590,08997 ,151548,1401/04/23,DEFERASIROX 500MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 100%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1365039,04189 ,64100,1401/09/16,TIOTROPIUM 0.018 INHAL,,capsule inhaler,نمي باشد,نمي باشد,1401/09/15,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,90
1433517,01139 ,781419,1401/12/01,BICARBONATE CONCENTRATE 650G,,powder,نمي باشد,نمي باشد,1401/12/08,مي باشد,ويژه (پايه 100%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1346735,06754 ,6520,1401/08/18,DOMPERIDONE MALEATE 10MG,,tablet,نمي باشد,نمي باشد,1401/08/18,مي باشد,عادي(مكمل 85%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1231312,05922 ,6500,1401/04/23,ESOMEPRAZOL 20MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1350616,05917 ,7130,1401/08/21,MEMANTINE 10MG,,tablet,نمي باشد,نمي باشد,1401/08/21,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1631718,10392 ,6520,1402/06/06,ARIPIPRAZOLE 5MG,,tablet,نمي باشد,نمي باشد,1402/06/06,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1607304,99946 ,42000,1402/06/04,SYRINGE 20CC,,instrument group,نمي باشد,نمي باشد,1402/06/04,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,دارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,100
1229358,13974 ,12170,1401/04/23,ESOMEPRAZOL 40MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1202999,06165 ,13694,1401/04/23,BUDESONIDE 3MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1705027,16179 ,7330000,1403/03/30,FOLITROPIN 300IU (600iu/1ml/0.5ml) PEN,,pen,نمي باشد,نمي باشد,1403/03/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,4
1700473,12036 ,75700,1403/02/30,URSODEOXYCHOLIC ACID 300MG,,tablet,نمي باشد,نمي باشد,1403/02/31,مي باشد,ويژه (پايه 70% - مكمل 30%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1210691,06854 ,341563,1401/04/23,LOTEPREDNOL ETABONATE 0.5%ML,,drop ophtalmic,نمي باشد,نمي باشد,1401/04/30,مي باشد,مشمول يارانه دولت,,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1227285,21850 ,100000,1401/04/23,THALIDOMIDE 100MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1705287,19926 ,2711000,1403/03/30,AMINOACID 5% WITH ELECTROLYTE 500ML INFUSION,,infusion,نمي باشد,مي باشد,1403/03/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,15
1705580,18972 ,20386000,1403/03/30,PEGFILGRASTIM 10MG/1ML 0.6ML INJ,,ampoule,نمي باشد,نمي باشد,1403/03/30,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,2
1711592,17972 ,93900,1403/04/16,KETOROLAC 30MG/ML,,injection group,نمي باشد,مي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1207293,07932 ,3838,1401/04/23,VENLAFAXINE 37.5MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1655930,52301 ,19240,1402/08/20,LEVODOPA/CARBIDOPA 100 mg/25 mg,,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,400
1230081,02158 ,301000,1401/04/23,METHOTREXATE SODIUM 25 mg/1mL 2MILLILITER,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه(پايه90%-بيماران خاص10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,40
1238766,23214 ,1292800,1401/04/23,METHOTREXATE SODIUM 20MG/2ML INJ,,injection,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,12
1199624,23125 ,2781888,1401/04/23,GLATIRAMER ACETATE 40MG/ML PREFILLED,,prefild syrige,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,24
1668432,09942 ,9916800,1402/10/13,IOPAMIDOL 370MG/ML 100ML,,vial,نمي باشد,نمي باشد,1402/10/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,3
1367121,11459 ,105251,1401/09/27,BRIMONIDINE TARTRATE %0.2,,drop ophtalmic,نمي باشد,نمي باشد,1401/09/27,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1633778,22398 ,110780000,1402/06/20,HEPATITIS B IMMUNE GLOBULIN 2000IU/40 ML,,vial,نمي باشد,نمي باشد,1402/06/20,مي باشد,عادي (پايه 95%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,1
1700129,22428 ,28400,1403/02/30,SITAGLIPTIN 50MG,,tablet,نمي باشد,نمي باشد,1403/02/31,مي باشد,عادي(بيماران خاص 70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,120
1701725,22429 ,15500,1403/02/30,SITAGLIPTIN 25MG,,tablet,نمي باشد,نمي باشد,1403/02/31,مي باشد,عادي(بيماران خاص 70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,120
1228371,66677 ,820000,1401/04/23,( GHALAM TAZRIGH INSULIN ( EXIPEN,,pen,نمي باشد,نمي باشد,1401/04/30,مي باشد,خاص(پايه90%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,1
1711412,22666 ,9385200,1403/04/16,LIRAGLUTIDE 6MG/ML,,pen,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,نمي باشد,نياز دارد,,هر دو,3
1240114,50330 ,224040,1401/04/23,FILGRASTIM(GCSF) 600MCG/1ML 0.2ML INJ,,injection,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,15
1636509,22698 ,692000,1402/07/22,TERIFLUNOMIDE 14MG,,tablet,نمي باشد,نمي باشد,1402/07/22,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,90
